scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
B2 L R2 B2 L2 B U' B R2 D2 U' L' R B L F B2 R B2 U2 L2 F2,x2,D2 F' U2 L' U' L',F' D' B' D F R B2 R',D B' U L B2 L' D' U' B,D B R D' B' D' B2 D B R' D' B2,F2 U2 B2 L' B2 U2 F2 R',43
U2 R2 D' U' F R2 D' L2 F2 B U2 D' R2 F R L2 B' D2 B' R' F' B' D2 L B2,x2,R' U' F' L' F2 L2 F,R' U F' U2 B' L F U,R' D B F2 L U' L' F2 D2 R D,R U' R B' R U R' B R' U R' B',F2 U2 B2 L' B2 U2 F2 R',46
R' U F' U F' D' U2 B R2 U F D2 B F2 U2 B U R B' D L B2 L B2,x2,R2 U B2 L2 F D',U B' F' U B U2 L2 U' F,L U' L' D L U B' L' D',R' F2 D F2 R2 B2 U' F2 L D2 F2 U2,R F2 U2 B2 L B2 U2 F2,44
U2 L R' D' F2 B2 D2 R F R' B' D2 U L2 F2 L D B D B' U' L D',x2,R2 F' R2 U L2 D,F R' B2 R2 B2 R' F' R',R2 F' U F R B R2 B2 R' B2 R',D' R' F R' B R F2 U2 F R B' R' D,B F' U R2 U' B' F R D2 R',48
R' B' L' R' B' D F2 B L' U2 D2 F2 L R2 B' D2 U' R2 U2 F' D' L2,x2,U' B R' D L2 U,B R B2 F D F' R,U' F' L F2 D F' L U' R2 U2 L',F' R' D' B F2 U2 B' F2 R D F D2,,36
R' D R U2 B' U B F2 L' R2 D' B2 F2 R2 U' R2 B' D L B2 D' U2,x2,B2 R U2 L F' U',B U R B R U' R2,R B2 R2 D' R' D R' B2 R B' R2,B L2 B U' F2 D L2 U' F' U L2 F2 L2 U,B D L R' B2 L' R D B',47
B D F2 B' U L' R' F L2 F L2 B U' B L2 F' U2 F D' R D' F U',x2,B' F L' B2 D2 U',R B' R2 U' B' U,D2 L2 U B' R B U' L2 D2,B D' F' R U' R' U2 R' U2 F2 D' F' D2 B',F2 U2 B2 L' B2 U2 F2 R',43
D2 F' R D' F R' L B L' B L2 U2 D F U L2 U2 F' U' F2,x2,R2 D2 R D2 L2 F,U2 L R U2 L' R2 B',F2 L2 B F' L' D2 L D F L' B' F2,D L2 B L2 U B' U' L' B' L' D' B',B D2 F' R' B' R B F D2 B2 D' B D,50
L2 R' B2 U D R B' D2 R L2 B' F D2 B' L2 U2 R' F D B2 D' U' R2,x2,L' D R' B2 F U L2,R' B L F2 R2 F2 L' B,B U2 F2 D2 F2 U' B' U R U2 B,B' R' B2 U2 L2 B' L B L2 B2 U2 B2 U2 R,L' D' L D' B R F L D L' D F' R' B',54
U L R2 D2 L F' B2 D B' L2 B D L2 F L' F L2 D' L F D R,x2,F U F L' F,F2 D2 F' R B2 R F' U2,L B' R B2 R B2 R' B' L',B' D' R' D2 R F2 L' U R2 B2 U' F2 L2 D2 B',R D2 R' B F' U R2 U' B' F,47
