scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
U' R' L2 F' B2 R2 D' L2 B2 U2 D2 F2 U2 F2 D R' D U2 R2 D' U2,x2,D2 B' U',B2 F2 D L2 D R D2 B2 L' F2,B' F2 D F R D' R' F R B,B U' B' R B U B' R U' R U R2,U F U' B F' L F' L' B' F,45
D2 F2 D2 L2 F2 U2 B' F D F R2 D' B2 U2 B' D U' F2 D' R L' U,x2,U' R2 F' D R2,L2 U' L' R2 B' F' D' F R2 B,U' R2 D B2 D2 B D B L' B' L' R2,F R' F' D2 L' D2 U2 B' R B U2 R,,39
R' F L2 R F2 B2 D F D' L D' B2 L' D R' U B2 D R' L U R',x2,U' R F2 D' R B',F2 L2 R' F2 U F2 L' R F2,R2 B D' L2 B' L2 R2 U F' L2 U' F2,F2 D' L2 D B' F2 R B U2 B' R' B,F' U L R' F2 L' R U F,48
B L2 B' R2 U2 L' F R' D' R2 U' L U2 R D F2 L' U' B' L',x2,F R D F2 U2,B2 L R' B R B' R B2 L',R B' R D2 F2 D F2 D' B R2 F U2,D2 B' L' B R' B2 L' B' R' F' U2 R2 B',D' U' L2 U2 L U' L' U' L2 D F U F',52
R B R' D2 B L D2 L2 B F D' F U B F2 U2 B F2 L' D2 U L2 R2 U2 F,x2,L B R2 U,D' L D2 F' D2 L' B2 D' R2 D2,R' D B' R' U B2 L' R D2 B' L D' R,D U B' R' U R' U2 R2 B D' U2 F' U F2,B F' L F L' B' F U F' U',51
B' R2 F L U D F2 B L2 B F' U B R U2 F2 L' F B R2 B U' F2 D',x2,L2 D' L' F' D2 L2,F U L D' B' L' B' D U',U2 B U B F U' F' L B' D L D',F2 R B2 D' L' D' U B D2 U' B2 R' F2,,40
B' R' L' U2 D' L' D' U2 B R2 L' U2 L R2 U' R2 L2 U2 D' L2 D B F2 L2 D2,x2,F' D' R' F2 U,B' R F L2 R F' D2 L2 R' F',R' B2 R' B R U R U' B R,D' R F U F' U2 R' F2 U R' F' R D' L2 D2,L' B2 D2 F2 R' F2 D2 B2,48
B2 U2 B2 D F U' F' D' U2 L' B2 R' L2 U R D2 U F R B2 D2 R,x2,L2 F2 D' U' F' R',B D L F2 L2 D' U2 L B',B' F2 D' B' U B R2 U' B' D L F2,B R' F' D2 F R2 D2 F' R2 F D2 U' R' U B',U F U' B F' L F' L' B' F,52
L U D2 R' L' F2 R2 L2 U R B2 L' D2 U L2 U L2 R' F2 L B,x2,L2 D2 F D L',B' D2 R2 F2 R D2 U' B U',B U F2 D2 U2 R U2 L' F2 U' R' B',R2 U' B R2 B R2 B2 R D2 L2 F' D2 U R2 U',F' U' L R' F2 L' R U' F,50
R' U L U F L' U' D R' U2 L' F' U' L U' L' F' U' R2 D2 U2 R2 D2 F' D2,x2,F' R2 F2 L' D F',L R' U R B' U2 B U' L',U' F' U B U L F U' B',B' F' D U R2 U F R2 U' F' R2 D' F2 U' B,F2 R B' F D B2 L2 B2 D' B F' R' F2 U2,53
