scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
U2 R2 D' U' F R2 D' L2 F2 B U2 D' R2 F R L2 B' D2 B' R' F' B' D2 L B2,x2,D' L2 B U2,F R D2 U L' U' R2 D2 R,D' B2 F' L' B2 R2 F R2 F D,R' D F2 D2 B F2 U R B F2 L B2 F2 D',L' B U2 B' L B L' U2 L B',47
B2 L R2 B2 L2 B U' B R2 D2 U' L' R B L F B2 R B2 U2 L2 F2,x2,D' U F' L' R' U2,R U B' U2 B' D B2 U R',U2 L' F' U F D R D' L U2 F2,F' U2 L' F2 L D2 R' D2 F2 U2 F,F R B R' F' R B' R',45
R' U F' U F' D' U2 B R2 U F D2 B F2 U2 B U R B' D L B2 L B2,x2,B' U' R' D2 R2 B,F' L2 U' R' U' F' R F U2,U' B2 R' B R F' R' B' F2 R B2 U,B U F2 U' F2 U2 F2 U B' F2,L F2 L B2 L' F2 L B2 L2,46
L2 R' B2 U D R B' D2 R L2 B' F D2 B' L2 U2 R' F D B2 D' U' R2,x2,B2 L F D' R,B U B2 U R2 B F' R2 U2,F2 L' U' L D U' L' U' L R' D' U2,D2 U' L D L' D2 R2 D' F R F2 R U,R B L' B' R' B L B',47
R' D R U2 B' U B F2 L' R2 D' B2 F2 R2 U' R2 B' D L B2 D' U2,x2,R D2 B' U R2 B',F R B' U' B2 D B' L' R',L2 B D2 R F R2 D' R D' B' F' L2,D R B U2 B2 D2 L' D' L' B D2 F R,F' U2 F' D' F U2 F' D F2,49
U2 L R' D' F2 B2 D2 R F R' B' D2 U L2 F2 L D B D B' U' L D',x2,B' F L' U2 B' D',U L U2 F U B2 L' B2,L' F U L D U R2 U2 F' D' F',D2 R' U' R B2 U' L2 U L2 D' B2 D',R2 F2 R' B' R F2 R' B R',46
D2 F' R D' F R' L B L' B L2 U2 D F U L2 U2 F' U' F2,x2,L U' L2 B' R2 D',U' R2 F' R2 U2 L2 U' L' F',L2 D' F R B R' B' F' D' R' D2 L2,R D2 F R B U2 B' R' F' D2 R' F2,B' R2 B' L2 B R2 B' L2 B2,48
B D F2 B' U L' R' F L2 F L2 B U' B L2 F' U2 F D' R D' F U',x2,L2 U' R2 B L U,B' F2 D F D' B F2,L' F L2 F2 L2 F U L U' F,F' U' L F' D2 U' R' D2 U2 F U' L' U,B2 L2 B R2 B' L2 B R2 B,45
R' B' L' R' B' D F2 B L' U2 D2 F2 L R2 B' D2 U' R2 U2 F' D' L2,x2,R' D U2 B F R,B' D2 R2 U R2 D2 B F2 L2,D' L D2 L R' D2 B2 U' R B2 D L2,R' D' L' U L' U' L F' L F D R,U R2 U' B2 D B' U' B2 D' B2 U B' R2,52
U L R2 D2 L F' B2 D B' L2 B D L2 F L' F L2 D' L F D R,x2,R' F' U R2 B,L B' F2 R' D R B L,F L B D F2 D2 L D L' B' L' F',D2 B U B R D B D' R' B U' B D2,L' B L F' L F' L B' L2 F2 R U2 R',51
