scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
L2 R' B2 U D R B' D2 R L2 B' F D2 B' L2 U2 R' F D B2 D' U' R2,x2,R' F2 U' B R,F' R2 D B U2 L D' B' U2 R,R' F' R' F2 R B' F2 D B R2 F',U B' R D R' D' F' R' B F U',B2 D B F' R2 B' F D B2,46
U2 R2 D' U' F R2 D' L2 F2 B U2 D' R2 F R L2 B' D2 B' R' F' B' D2 L B2,x2,D' L' F U2 L' B,R' F' L R' D' U2 F2 R2 B2 L,F U' B L B' D' U L' U' L D,U' F L' U2 B L2 F D F2 L D2 B' L2,B D R D U' B2 D' U R D' B',51
B2 L R2 B2 L2 B U' B R2 D2 U' L' R B L F B2 R B2 U2 L2 F2,x2,D' B L' U2 F2 L,D' F2 D L2 U' B' U L2 R,D R F U F R U' R2 F' D',B U L2 B2 D' F' D B2 F L2 U' B',R B' R' B' R2 F D B D' B' F' R2 B2,50
R' D R U2 B' U B F2 L' R2 D' B2 F2 R2 U' R2 B' D L B2 D' U2,x2,U2 B' U R' D',D' B' F' L' D' F L B2 D,F U2 B2 D B2 L' F' U' F L U' F,L B F' D R' D' R D' F D B' L',B F L' B2 U2 B2 L' B' F' L2,48
B D F2 B' U L' R' F L2 F L2 B U' B L2 F' U2 F D' R D' F U',x2,D F2 L U' B' U',D L D B2 L2 D' U2 L F D2,R B' D2 L' R F' L D2 B F',L2 R2 B2 D' B' D B' L2 F U' F' R2,U F D' U L' U L D U' F' U2,49
R' U F' U F' D' U2 B R2 U F D2 B F2 U2 B U R B' D L B2 L B2,x2,F' L D' L2 D2 B',D2 B2 U2 F L F' D L U2 F2,R2 F R' B' F D B R2 F2 R2 F2,B2 D F2 R' D' R2 D R F2 R D' R' B2,,40
D2 F' R D' F R' L B L' B L2 U2 D F U L2 U2 F' U' F2,x2,F U2 L2 D F L',D2 F' R' U2 L D L B2 L' U2,F2 U' L U2 B D2 B' L2 U2 L' U F,D' B R2 F' U2 L2 U' L2 U' F R2 B',U2 F D' U L' U' L D U' F' U',51
U L R2 D2 L F' B2 D B' L2 B D L2 F L' F L2 D' L F D R,x2,L F' D' F2 U L2,B2 R B' U' L' D2 R2 U' B2 U2,U' B L B' F U' F' U,B2 D2 L' R2 F' L F R2 D2 R F' R' B2,R' F' R B F U2 F2 U' F U F U2 B',50
U2 L R' D' F2 B2 D2 R F R' B' D2 U L2 F2 L D B D B' U' L D',x2,L' R' D' B U',B' L' U F2 R' B2 D2 R' U2 B,B' U R B U L U' L2 F' U' L',F2 U R' U' B U2 R U R' B' U R U F2,B2 D B F' R2 B' F D B2,49
R' B' L' R' B' D F2 B L' U2 D2 F2 L R2 B' D2 U' R2 U2 F' D' L2,x2,B D' B2 R D2 B,B' D L' R' F2 D U' L,B2 F2 L' F L B F R2 F2 R' B,F' R' F' D U2 B U2 B R B2 R' B2 D' F2,L2 F' D R' F D' L2 R2 U B' R U' B R2,53
