scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
F2 R' B' R' L F' L2 B' L D' F B D F U' F L B' D2 L D' L' R2,x2,L' D' R F D' R,F U2 F' D2 F2 D' L' D',R D R D2 L D R U F2 R U2,F2 D' F2 D2 R' D' U F U2 R2 U F2,B D' F D B' D' F' D,45
F2 L F' D' R2 D2 U R2 U D2 R2 D2 F U' L U2 D F U2 R',x2,B F2 U2 L' D B D',B2 F2 U' L U F2 L' B2,B D U L B' U' B L2 D' U' B',F2 R2 F2 U' R D' U F' D F2 R2 F2,R2 D' F2 U2 B U' F U' F U' B' D U,51
B D' B2 F R' B2 F2 R F B2 U2 L' F' R2 U L2 D L' U B2 L' B U2 B2 U',x2,F D2 L U2 L' D R',B U' L D F' L D' L2 U,B2 D' R' D2 U2 L2 U' L' D' U' B2,F2 U' L2 D2 B D2 L2 D U R D' F2,R2 F' D L2 D' F R2 F' D L2 D' F,51
D2 B U' D' B' L B2 U D' F2 R2 U2 B F2 L D2 F R F' U,x2,U2 F2 L2 U' L D L2,F' L' R U2 B L R' F',D U' L2 D2 R' D U' B U2 B2,R' U B2 D' F D' L D2 B2 U2 R2 U,R2 B U2 F2 D' F U' F U' F D B' F',50
D F2 D' B U' F' B' U2 L2 B' L2 B2 R' L' D' B D2 B L' U2 F2 L2 U2 R,x2,L' D R F2 D,L2 D' B2 U B U' R' B D,U R2 D2 F2 L' F L2 F D2 R2 U',R F D B U R' U' B' D' F',D F2 D' B' D F2 D' B,43
R' D' L' U2 R D2 B2 F D' F R2 L' D2 B U F2 L B U D2 F' B U' L',x2,D' U2 F D L2 R,B' L D U F2 U L D' L2,B' D' R' D B2 U2 B' U2,D2 L' D B U B' D' U F' U' F L D2,F' D L2 D' F R2 F' D L2 D' F R2,48
L' D' R2 D R F B2 D L2 R' B U2 D R2 D' R U' D R' B L' B,x2,U2 L2 F L' D,U2 B2 L2 B2 L2 U B',D B' R F2 R F' U F' R' U' B D',D2 R2 F2 D' F' D' U2 B2 L B L B U2,B' D' B2 D' F D B2 D' F' D2 B,48
D' U F2 R2 L' B' R F R U L' U' R' D F' L2 D F' R2 B2 F' U' F2 L2,x2,L B D R' F',B' U L B2 L2 U B2 L',F' U2 L' U' L2 B U B' L' U F U2,L' U2 L U R F U' F R' B' R' B F2 R',B' D F2 D' B D F2 D',47
D2 B' U R' F' R F2 L' U' D2 F2 U' B2 U' D' B L D R2 B2,x2,R2 D L2 R' D B' R,U' B U2 L' B' L' B2 L2,F L2 F R' F R' F' L' R2 U' L' F',B D2 L' F U F2 L F D2 B' U' R2 U,L B2 L F' L' B2 L F L2,49
U' D F2 B U2 F U D L' U B' L R' U2 L2 B' U' B' D L2 R F L2 B2 D',x2,U2 B F L' D' F',F L' B' L' D2 B D2 L2 B',U2 R F R D2 L U L B D2 R,B U B2 U2 B2 D2 F' U' F' L' U L D2 B',B D F' D2 B R2 B' R2 D B' D2 F D2,53
