scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
F2 R' B' R' L F' L2 B' L D' F B D F U' F L B' D2 L D' L' R2,x2,R2 U2 L B' F2 L,F' D' R U' R F2 D' U,D F D' F D2 B2 F U B2 F D',F' R2 B' R2 F2 R' B L2 B' L2 R F',U L B' D U' L2 D' U B' L' U',48
F2 L F' D' R2 D2 U R2 U D2 R2 D2 F U' L U2 D F U2 R',x2,R' D' U' L D2,F U B L2 B' F U' R F2,F2 D' F' L B2 R' B2 L' D F',L F' D2 F' U F' D2 F D2 U' F' D2 L',R2 B F R' F2 U2 F2 R' B' F',47
D2 B U' D' B' L B2 U D' F2 R2 U2 B F2 L D2 F R F' U,x2,U F' L2 D2 F' D,R U B2 L B2 U' R',L F R' B U2 F U' R2 U' B' L' R,L2 D2 L' B D2 L2 B2 L' B2 L' D2 B' L',L' B' L B2 L2 B' F' D' B D F L2 B',51
U' D F2 B U2 F U D L' U B' L R' U2 L2 B' U' B' D L2 R F L2 B2 D',x2,F' D L D2 R2,D F' U2 R2 U2 F' D',D' F2 U' L' F U' L U F2 D F',L2 D L' D B D R D' R F2 R2 B' D2 L',F R U' L' R B2 L R' U' R' F',48
L' D' R2 D R F B2 D L2 R' B U2 D R2 D' R U' D R' B L' B,x2,U2 L' U' R D' B2,B2 U' B L F2 D2 B R2,L' B R B R U' B2 U L U',B U F2 D2 U' B' F2 D2 B2 U B U B,U L B' D U' L2 D' U B' L' U',48
D' U F2 R2 L' B' R F R U L' U' R' D F' L2 D F' R2 B2 F' U' F2 L2,x2,F2 D R2 B D2,L U' B' U R2 D L' R' F',U2 F L D L' B D' L D B' F' U2,L D2 F' R U F U B2 D2 L B2 U2 L' F',U B D' U R' U R D U' B' U2,51
B D' B2 F R' B2 F2 R F B2 U2 L' F' R2 U L2 D L' U B2 L' B U2 B2 U',x2,U2 B' L' D' B' R' D2,B' D' F' D2 L B' F U' L B2,L2 B R' B' D' L2 U2 F' U F U2,D2 L F L2 B' L B2 L2 U2 F R2 U2 F2 L2,F2 D' B' F L2 B F' D' F2,51
D2 B' U R' F' R F2 L' U' D2 F2 U' B2 U' D' B L D R2 B2,x2,D2 L B' D2 R',B2 F L F L B2 F' R',U2 R2 F' R B U2 B' R' F R U2,L2 D2 B R2 F' R' D' F' D F R' B' D2 L2,F2 D' B' F L2 B F' D' F2,47
D F2 D' B U' F' B' U2 L2 B' L2 B2 R' L' D' B D2 B L' U2 F2 L2 U2 R,x2,D2 U' L' D F' D2,B F2 R F2 U B' F' D R D,L B R' U' F' R' F U2 F U' B' L',D2 L D2 R U' L' U L' U' L2 U L2 F2 R',R2 B F R' F2 U2 F2 R' B' F',52
R' D' L' U2 R D2 B2 F D' F R2 L' D2 B U F2 L B U D2 F' B U' L',x2,F D2 F' R2 U' F2,F' U B2 D2 B2 F' U' R,F L2 D' B F D F2 R B' F L2 F',F' R2 B U2 B2 U' B R2 B2 R2 U' F R2 B2,F2 L2 B F D F' D' B' L2 F L F L',53
