scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
B2 L R2 B2 L2 B U' B R2 D2 U' L' R B L F B2 R B2 U2 L2 F2,x2,B' U' B2 F2 D',R2 B' R D2 R2 B F2 R,U' R2 B L2 F' U L2 U' L2 B' R2 U,R' F U2 B' F' R2 F' R F' R B U2 R,U' L2 F' L' F L' B' U' B L U L',50
U2 R2 D' U' F R2 D' L2 F2 B U2 D' R2 F R L2 B' D2 B' R' F' B' D2 L B2,x2,B' L2 U' R' B L',B L' B F2 D' L' B2 F',B U F L' U' L2 F' L' B',D2 L U B' L' B' F U B2 F' U' L' D2,U R B R2 U' R' F R' B' R2 F' U' R,49
L2 R' B2 U D R B' D2 R L2 B' F D2 B' L2 U2 R' F D B2 D' U' R2,x2,L' B2 U B2 R' F,U' R' B U' B2 D2 B2 L2 B',U' B L' R2 B D' L B' R2 B' U,B L2 F2 U B2 F R2 D R2 B U F' U' F,R B' R D2 L' F L D2 R2 B,50
U2 L R' D' F2 B2 D2 R F R' B' D2 U L2 F2 L D B D B' U' L D',x2,F D' R' B' F L,U2 B' R F2 D R2 D2 B,U F2 U F U2 R2 F' R' U2 R' F,L2 U' B F' L2 B' F U' L2,U' L2 F' L' F L' B' U' B L U L',46
R' U F' U F' D' U2 B R2 U F D2 B F2 U2 B U R B' D L B2 L B2,x2,U' F2 L' F L2,F U' F' R2 B L B' U2,B U L' B' L F' U2 L U2 L' F,L' U2 B2 U L2 R2 F D F L2 R2 U2 L U',R2 B' D2 F D' B' D2 F' D2 B D' R2 B,51
R' D R U2 B' U B F2 L' R2 D' B2 F2 R2 U' R2 B' D L B2 D' U2,x2,U' F' D2 L B F2,B L U' B F' L' D B2 U2 F',B' D2 R' D2 F D2 R D2 B U',L U R2 F R U F R B2 L2 B' L' B' L',R2 B' D2 F D' B' D2 F' D2 B D' R2 B,53
B D F2 B' U L' R' F L2 F L2 B U' B L2 F' U2 F D' R D' F U',x2,F' L' R' D2,B F L' B' U F2 R2,D L B' F' D B F L' D' U2,R2 D' F' U B U' F L' B' R' U R D R2,U R B R2 U' R' F R' B' R2 F' U' R,48
U L R2 D2 L F' B2 D B' L2 B D L2 F L' F L2 D' L F D R,x2,L2 R' D' F' D2 L,R U B' F2 D2 F2 R2 B,F' R' B' D B' L B D' B F,D2 L R' D F D' L R2 B' L2 R' D2 U,L2 U' F L F2 D2 B R B' D2 F L' U L2,51
R' B' L' R' B' D F2 B L' U2 D2 F2 L R2 B' D2 U' R2 U2 F' D' L2,x2,D' F U2 B F2 L,D L' B F2 L R' D F,D' U F2 L2 U' L2 D F' R2 F' U',U B U F L B L2 B' U' L' B' U' F' U2,L2 U' F L F2 D2 B R B' D2 F L' U L2,53
D2 F' R D' F R' L B L' B L2 U2 D F U L2 U2 F' U' F2,x2,B2 D F R D' L,U F2 R2 B' R B' L2 B2,B' D2 U2 F R' B' F2 D2 B2 F L,F' D' U2 F' U' F2 L2 U L F' L F' D U' F,D' B2 U B2 U' B2 R2 U' R2 D B2,51
