scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
U2 R2 D' U' F R2 D' L2 F2 B U2 D' R2 F R L2 B' D2 B' R' F' B' D2 L B2,x2,D2 B2 D U L' F,B D L U R' D' B2 U' B,L2 U2 F' U2 R2 B2 L2 B' R2,D' U2 F2 D L' D' L F2 U2 L' D L,D' F U F' D F U' F',44
B2 L R2 B2 L2 B U' B R2 D2 U' L' R B L F B2 R B2 U2 L2 F2,x2,B' R' B' F' D' L' U',R' D' L2 B L' B' R2 D R',B2 L' R2 F' R' U' R' F L B2,F2 U' F U F L2 F D F' D' L2,L2 B' L F2 L' B L F2 L,46
R' U F' U F' D' U2 B R2 U F D2 B F2 U2 B U R B' D L B2 L B2,x2,L2 U2 F' D L D2,F L' B L D L2 D' B2 F',F D B2 F2 L' F2 L B2 D' F,R F' L2 D F2 D' U F L2 U' F L2 R',R U' F2 U R' U' R F2 R' U,48
R' D R U2 B' U B F2 L' R2 D' B2 F2 R2 U' R2 B' D L B2 D' U2,x2,R D2 L2 F U' R2,L D2 B U B D2 U' B2 L',R U' R B2 D B' D' R' B' R' U,U' F L' D2 B2 U' B2 D2 L F' U F',R2 D B2 U' B D B2 U B2 D' B R2 D',51
B D F2 B' U L' R' F L2 F L2 B U' B L2 F' U2 F D' R D' F U',x2,U2 F' R2 B2 D' L U',U B' U F D R' D' U2,R B R D' R2 F2 R' F2 D R2 B' R',L2 R' D' L2 D R U' F' D F D' F U,U2 R2 U' L2 U R2 U' L2 U',49
L2 R' B2 U D R B' D2 R L2 B' F D2 B' L2 U2 R' F D B2 D' U' R2,x2,F R D L' D2 F2,L2 B2 R' U B2 D U' B2 R,U2 B2 D2 L2 U2 F D2 F R2,L2 U F2 U' F' L2 U F' U' L2 F' L2 F2,B' U' B U2 F' L2 F L2 U' B L2 B' L2,50
D2 F' R D' F R' L B L' B L2 U2 D F U L2 U2 F' U' F2,x2,L2 R2 B F D,R' B' D L R' B' R2 B2 D',L' R2 D L B' D B' L2 B2 L2 D' R2,B' R' F' L F L D2 L' D2 R F' L' B,L' F2 L' B' L F2 L' B L2,48
U L R2 D2 L F' B2 D B' L2 B D L2 F L' F L2 D' L F D R,x2,D2 R' U R2 F',L D2 L' B D2 L B2 D2,L' F2 U' B D2 F D2 B' U L' F2,F2 R F2 L' R2 B' D2 B D2 L2 D' R D' L',U' R F2 R' U R U' F2 U R',48
U2 L R' D' F2 B2 D2 R F R' B' D2 U L2 F2 L D B D B' U' L D',x2,B2 D' L B' U,U R' U2 F' U' R' F2 R2 U2,R' F' D2 F U2 B D' B' D' U2 R,L2 U' F2 U F' L2 F L2 F2 L2 D F2 D' F,L2 D2 L U L' D2 L U' L,48
R' B' L' R' B' D F2 B L' U2 D2 F2 L R2 B' D2 U' R2 U2 F' D' L2,x2,D' R2 B' R' F' D',D' R' D' B' D' R D' B2,U' F L R' D2 L2 D L R F U,F2 D L F2 R F' R' D F2 D' L' F D',B' U' B U2 F' L2 F L2 U' B L2 B' L2,51
