scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
B2 L R2 B2 L2 B U' B R2 D2 U' L' R B L F B2 R B2 U2 L2 F2,x2,R' D2 L2 B D,F' U' F R' B2 D B2 R,U2 L' B2 R B2 L U2,B' U' F R' F' R U' F' U' F U2 B,F L2 B2 D B2 L2 F2 U F,41
R' U F' U F' D' U2 B R2 U F D2 B F2 U2 B U R B' D L B2 L B2,x2,B' U2 F U' B,L2 R2 B' D2 R' U2 B L2 F',D L' U2 B2 U B2 R' U L R D',L2 R U' B L U' L' B' R' U L2,F2 R' D' U F2 D U' R' F2,45
U2 R2 D' U' F R2 D' L2 F2 B U2 D' R2 F R L2 B' D2 B' R' F' B' D2 L B2,x2,B D F' U2 L D2,B' R' D' B D2 R' D2,L U L' F2 U2 B U' B F2 D2 R B2 R2,R' U' B' F D' B F' R U R,F L' D L B F' D' R' D B',46
B D F2 B' U L' R' F L2 F L2 B U' B L2 F' U2 F D' R D' F U',x2,B' L2 R' B L,L D2 L2 F2 L2 B' F2 D2 F L',D' L D' F' R2 D L' R' D B R B',L2 R' U2 B' R' B R U R U L2 R,F L2 B2 D B2 L2 F2 U F,48
R' D R U2 B' U B F2 L' R2 D' B2 F2 R2 U' R2 B' D L B2 D' U2,x2,L D2 U' L B F,L B L' R2 B R2 B',D L' U2 B2 L' B2 L B U2 L D',U L D B2 U' F2 U B2 D' L U',F2 D2 B' F' L' F L B D2 F' D' F' D,48
U L R2 D2 L F' B2 D B' L2 B D L2 F L' F L2 D' L F D R,x2,R2 D B L F',F' R2 U' F R',D U' R F2 L' U' L D' F U2 F U',F2 L' U2 F' U L' B' R B2 L' D B' L',F2 R' D' U F2 D U' R' F2,44
D2 F' R D' F R' L B L' B L2 U2 D F U L2 U2 F' U' F2,x2,F L' B D' B L,L F2 L2 D R2 B2 D' F' L,B R D F' U2 F D U R D2 U' R' B',F' L' U L' U' F2 D' B2 R2 F' U' B2,B U F R' F' U' B' D' R D,50
U2 L R' D' F2 B2 D2 R F R' B' D2 U L2 F2 L D B D B' U' L D',x2,D' L2 R' D B' U2,B' D F' U2 R' U2 B F R,R2 B2 D2 L' D' U2 L' U2 L D' B2,F U' L F' U2 B L2 B' L2 F U2 L' U F',B F' L' U' L B' F U' R U,50
L2 R' B2 U D R B' D2 R L2 B' F D2 B' L2 U2 R' F D B2 D' U' R2,x2,D' B L D L2 D2,B' F' R2 B R F R',L' D2 U' B' D' L2 D' U2 F' U' B2 L,B' U R' U2 R2 U R2 B' F R D F' R' B2,F' R' F R B U2 F' U' F' U F2 U2 B',52
R' B' L' R' B' D F2 B L' U2 D2 F2 L R2 B' D2 U' R2 U2 F' D' L2,x2,B F2 U L' F',R B2 D' B R2 B L' F' L,U2 L' B2 R' B2 L U2,B' U2 F U R' U' B' D R F D B2 L F2,F2 D2 B' F' L' F L B D2 F' D' F' D,48
