scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
L2 R' B2 U D R B' D2 R L2 B' F D2 B' L2 U2 R' F D B2 D' U' R2,x2,D R' U2 F U',U2 R' D' F U2 R D B' R2,R' B' L' R B L B D' B2 D L,D2 B' F L F' L B D2 B' L2 B D2,R2 F' D L2 D' F R2 F' D L2 D' F,49
B D F2 B' U L' R' F L2 F L2 B U' B L2 F' U2 F D' R D' F U',x2,D' L2 B U2 R' F',B F' U' B2 D B F R',L' B' L2 D B' D2 B2 D L2 B,B2 D' U L D L2 D' L D U' L B2,U2 L U' R2 U L' U' R2 U',45
R' U F' U F' D' U2 B R2 U F D2 B F2 U2 B U R B' D L B2 L B2,x2,L2 F' R2 B' D',B2 F U' B' L U' L' F',F' R' U R2 F R' D B D' U' F U,R F' R' D' L2 F' L2 F2 L F' D' L2 D2,F D' F' U F D F' U',46
R' D R U2 B' U B F2 L' R2 D' B2 F2 R2 U' R2 B' D L B2 D' U2,x2,B' D U L' D2 F,F' D' B U' L B L' F L' R2,D' F U F' L2 F L2 F U' F2 D,B' F' R' F L' F' D' L' D L R B F,F D' R2 D F' D' F R2 F' D,50
U2 R2 D' U' F R2 D' L2 F2 B U2 D' R2 F R L2 B' D2 B' R' F' B' D2 L B2,x2,U2 F' L' F' U' L,B' U2 R U2 F D F' L' B,B L D B D2 U2 F2 R' F2 D U2 B2,R U B' R F' D2 F R' B U' B2 L2 B2 R',U R2 U L U' R2 U L' U2,50
U L R2 D2 L F' B2 D B' L2 B D L2 F L' F L2 D' L F D R,x2,L U F L2 F,R2 F' U' L' B L F' R F2,L' B L2 D L' D B' D2 B D B' D,B U B L2 B' U' F D L F' L' D' B' F',R2 F' D L2 D' F R2 F' D L2 D' F,52
R' B' L' R' B' D F2 B L' U2 D2 F2 L R2 B' D2 U' R2 U2 F' D' L2,x2,F D F' L' F,L2 B' D' F' U' F R' D L2,R' U B' L' F U2 F' L B U' R,R' U' F U' R' B L F L B F D2 B2 R2,R' F' R B R' F R B',47
D2 F' R D' F R' L B L' B L2 U2 D F U L2 U2 F' U' F2,x2,B2 F' U2 L' R2 F',D' U L2 B' D U' L F2,B' F2 L U F2 R' F2 U' L' B F2,D' R' F' L F R2 F2 D2 F D2 L' F R' D,D' F R2 F' D F D' R2 D F',49
U2 L R' D' F2 B2 D2 R F R' B' D2 U L2 F2 L D B D B' U' L D',x2,L' U B' R D2,L' U B U F D' F' L U2 R',B U2 F' R2 D' F U2 B' L D2,D2 B F' U' R F' R' D' U F' D B' F2 D2,U R2 U' B2 D B' U' B2 D' B2 U B' R2,52
B2 L R2 B2 L2 B U' B R2 D2 U' L' R B L F B2 R B2 U2 L2 F2,x2,F2 D' L' F R B2,L2 R B2 D' U B2 F D U',L2 U2 F' L' F D2 L D2 U2 L2,R2 B2 L U' L2 U2 B' U' B' R2 D2 R' D R D,F' U2 F' D2 F U2 F' D2 F2,49
