scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
U B D B' U' R' D2 R' F U D2 R B F D2 R2 L' U2 B2 U2 F2 B D' L2,x2,D B' R D2 B D' F',U' L2 U' L' U B' U2 B,U F U2 R' F' D' F' L D F2 R,D B' R' U R2 U' R B D',B' D' B U' B' D U F2 U' B U F2,47
F' R L' B' L' F2 B R2 U F2 D B' F2 D' B D' U2 F' R' D',x2,U' F R' B D2 R B2,L2 F' L' F L2 U',D B2 U' R2 D B' L2 B' D2 U2 F,F' U' B R U' B2 U R' B' U F,R2 D2 F' L2 F D2 R2 D' B' U2 B D,47
D F R L2 D' B' R2 L2 F' R' D B' L2 B' R L2 B2 U2 L' B',x2,U' L2 F' L' D B,U' L2 D F D' L U',B R2 D2 U B U' L' D2 R2 B',D' F' U L F' L F L2 U' F D,U F D' F' U' F D F',42
L2 R2 U2 R' F U2 B2 R' D2 U' L' B2 D' F U' D F B2 R D2 L2,x2,F2 D' B2 L' F2 R2,B D F D' L B' U2 L2,D B' U' F' R2 F R2 F U B D',D' U' B2 F R D2 R' B2 F' D U,R2 D R2 B' U2 F D2 L2 F' U2 B D R2,49
B' R2 D' L2 U F R' F B' U2 R' B' U' R' F' U2 L U F' B2 D2 L,x2,L U' B U' B2 D',L' U B' D2 U R' D2 B,U R B' U2 L2 B' L2 U2 B R' U',F D' F U2 L U' F' L' F2 U' F D,B' L B R2 B' L' B R2,45
B2 R F' R U F' D' U2 B' D2 L U D F L R F2 R2 L' U F' B2 U L' B',x2,L U B D2 B R' D',L U L' U L2 U L',F' D U2 R U2 R' B' U' R B D' F,D B' R U R' U' B' R B2 D',F2 U' B U F2 D' U' B' U' B D B' U2,49
L D' F B' R' B' L F' D R U R U L' F2 B2 R B2 F L' F2,x2,D' F2 D' L B R F',L F2 U2 B L2 B' F' U',F L U L F L' U' F' L' U' F',D R' F' U' R' U R F D',F2 R B' L B R' B2 L' F2 L B L' B,48
U R2 L' B U2 L2 U F2 D B2 U L U2 R' D2 L F' U' D2 F2 U',x2,B' D2 R D2 B D',U' L2 D' R B U' R' D,F' R' F D2 L' D2 F' R F2 U' F',R2 U' F2 U R' D2 L D L2 D R',R B L2 B' F' R' B' R F R' B2 L2 B',49
B R' B R F' R2 F' D' F' L2 D' R D2 B2 F2 U' F' U2 F D B' R2 U R2 U,x2,L2 B2 U2 L' D2,U2 B' R' U2 R U' B U',U R' F2 L2 B L2 D2 F D2 B' R U',B R' D F D' F' R' D' R2 B',U2 B D' B' U B D U F2 U' B' U F2,48
L2 D F' L' F' L2 F' U' D F2 R' L B2 F' L' R2 F B2 R' L U L2,x2,F2 D' R' D F,L' U' B' R' U2 R B2 L2 B',U2 F2 L' U2 F' U' F' U' L2 U F2 L,D R' D' R' D2 B R B' R' D2 R2,D2 F2 U F' D' L2 F L2 F' L2 F2 U' F D',51
