scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
F2 R' B' R' L F' L2 B' L D' F B D F U' F L B' D2 L D' L' R2,x2,F' U B D R U2 B,L2 D' F' L R2 B' R2 D,U L' U' L2 B2 F' L F L' B2 L',R F L' F' R' F L F',,34
F2 L F' D' R2 D2 U R2 U D2 R2 D2 F U' L U2 D F U2 R',x2,R D' F' U2 B2,F D F R2 U' R2 F D',F2 D' L2 F L D' L D F2 D,R D2 L D L' B L D' L' B' D2 R',R D2 L' D L' D' L2 B2 R' U' R B2 D2 R',49
D2 B U' D' B' L B2 U D' F2 R2 U2 B F2 L D2 F R F' U,x2,F D B' L U R B,F2 R' B2 D B' D2 B' R F',F L R2 U' L2 U2 L2 R' F U R' F2,D2 R2 U' R U' B' U B U R D2,U2 L F2 L' D R U2 L R U L' R2 D' U2,53
L' D' R2 D R F B2 D L2 R' B U2 D R2 D' R U' D R' B L' B,x2,D R B' L F2 R2,R2 U R' F' U2 F R' F2,D B' F' U' F U B D' F R F2 R',B2 U B2 U2 L' D' L D U2 B2 U' B2,D' L2 F L D2 R2 B R B' R D2 L D,51
D' U F2 R2 L' B' R F R U L' U' R' D F' L2 D F' R2 B2 F' U' F2 L2,x2,F' L' B' D' B' U B2,R U' F U' L2 F' U R',D' B' U2 R' F R U2 B D L',F D F2 D2 F' D2 B U' R2 U B' F D',R D2 L' D L' D' L2 B2 R' U' R B2 D2 R',52
D F2 D' B U' F' B' U2 L2 B' L2 B2 R' L' D' B D2 B L' U2 F2 L2 U2 R,x2,B' L B2 U R D,L2 R U2 R' F' L,D U L' U' B' D' L D B D2,D L D' B L' F L B' D L' F D' F',D L2 F L D2 R2 B R B' R D2 L D',48
U' D F2 B U2 F U D L' U B' L R' U2 L2 B' U' B' D L2 R F L2 B2 D',x2,L2 F' D' B2 D2,F2 R2 U2 R2 D F' D' L' F2,L' R' D R D F2 L' D2 F2 D2,L' R U2 B L2 D' L D L2 B' U2 L R',U2 L F2 L' D R U2 L R U L' R2 D' U2,51
B D' B2 F R' B2 F2 R F B2 U2 L' F' R2 U L2 D L' U B2 L' B U2 B2 U',x2,L2 B2 U2 L F' R' B,D2 F R' B2 F' D2 F R,U L' R2 B L B' L R2 U',D2 B2 U' L' B2 D B D' B L B U B D2,L' B U F' U' F2 R2 B' D' B R2 B' F' L,52
R' D' L' U2 R D2 B2 F D' F R2 L' D2 B U F2 L B U D2 F' B U' L',x2,L' B' D2 R2 B' U,R' D2 R' B' L' U R2 D2,D' L2 D U' F U L' F' L2,R' F D' L2 R D' R' U B2 D2 U' F' R D',L R F' L' D R' B R' U' B R B' D B' D2,52
D2 B' U R' F' R F2 L' U' D2 F2 U' B2 U' D' B L D R2 B2,x2,U' R D2 B' F2 R,F U2 L' F' L2 R' F2 R,D' B' F U' B' R2 U' B F' U' B,R D L' U L D' L2 U' L F L F' R',L R F' L' D R' B R' U' B R B' D B' D2,53
