scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
B' R' L' U2 D' L' D' U2 B R2 L' U2 L R2 U' R2 L2 U2 D' L2 D B F2 L2 D2,x2,U2 R2 B' U R D',U B2 F' U' L B L D' F2,B L2 D L2 F2 L D F2 D2 L' B',F2 L' U' R U L F R F' R' F,F2 L' B F' D F2 D' B' F L,47
U' R' L2 F' B2 R2 D' L2 B2 U2 D2 F2 U2 F2 D R' D U2 R2 D' U2,x2,L B2 U' B F R',U' L D' R' F' R B' D F,R U' R2 F2 L' R U L F U F,D2 R2 U' R' B2 U R U2 B2 D B2 L D U2,B2 R2 B' D' U R F2 R' D U' B',51
R' F L2 R F2 B2 D F D' L D' B2 L' D R' U B2 D R' L U R',x2,U R2 U' L B' R2,R2 B' D R' F2 D2 R' F' D' B,D' B' D' F2 U' F' U F2 D B D,F' U2 B2 L2 F' D2 F2 L2 F' L2 D2 B2 L2 U2,B D' U R F2 R' D U' B R2 B2,52
L U D2 R' L' F2 R2 L2 U R B2 L' D2 U L2 U L2 R' F2 L B,x2,U B U' B R U,U2 B L' R2 B' F U B' R' D2,F' U' L' D2 B U R B' D2 L U,D' F' L' F L D2 F R F' R' D',L2 B D U' L' F2 L D' U B',48
R B R' D2 B L D2 L2 B F D' F U B F2 U2 B F2 L' D2 U L2 R2 U2 F,x2,L' D2 B L2 B R' F',B' F R' D U R' D' B L',B' L' U' B2 U2 B2 U2 L U' B,R' F' R' B2 D' R2 F R U R2 D R U' F,R F' U' B' U B F R2 B2 R' B R B R,54
D2 F2 D2 L2 F2 U2 B' F D F R2 D' B2 U2 B' D U' F2 D' R L' U,x2,B U2 R' B D2 R B,U' R D2 U L' B D2 L' U,D' B' D2 F2 R U R' D2 B D,L B2 R2 F' L' B' D2 B2 D2 B D F' D' L R2,F2 D' U L2 D U',47
B L2 B' R2 U2 L' F R' D' R2 U' L U2 R D F2 L' U' B' L',x2,D2 R B' D2 F2 D' R',D2 L' F D' U R' B F' R D2,F D B U' F U B' R F' R' D',U L2 R' D' L D B D2 F L' F' L B' R U',F2 D' U L2 D U',49
R' U L U F L' U' D R' U2 L' F' U' L U' L' F' U' R2 D2 U2 R2 D2 F' D2,x2,F R2 D' L' D2,B2 F' U' R2 D2 B U R B2 U,B U2 B U2 F U' F' U2 B' U' B',U' B2 U B2 L2 F' L2 B' R U R' U2 B U B2,B D U' L' F2 L D' U B' L2,51
B' R2 F L U D F2 B L2 B F' U B R U2 F2 L' F B R2 B U' F2 D',x2,B2 L D' L D' B,F U' L U B' U' F2 U' B,F U' F' U R2 D' L D R2,D L' F D R2 F' R' U' R2 U L D' B2 R B2,F2 L' B F' D F2 D' B' F L,49
B2 U2 B2 D F U' F' D' U2 L' B2 R' L2 U R D2 U F R B2 D2 R,x2,L2 R' B2 U' B D',L2 U L2 D' U' B' D U,B2 D R D F2 U2 F2 D' R' D',D2 R2 U B D2 B' D' B' R B' D U F L B' L,L2 B D U' L' F2 L D' U B',50
