scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
B2 L R2 B2 L2 B U' B R2 D2 U' L' R B L F B2 R B2 U2 L2 F2,x2,R F D2 F2 U2,L' D' L D' L' D2 L D',U B' R U R B D L' U' B2 L D',D2 B2 R D2 F U' L' U L F U' L F2,L' U2 L D' L' U2 L D,46
L2 R' B2 U D R B' D2 R L2 B' F D2 B' L2 U2 R' F D B2 D' U' R2,x2,U2 B L F' U L2,U R' B' U B2 R U2 B,D R' D' L D2 R' F' U F D2 L' F,U R F R2 F' U' R' F' U2 F,D' L2 B U' L2 U L2 U B U' B2 D L2,49
U2 R2 D' U' F R2 D' L2 F2 B U2 D' R2 F R L2 B' D2 B' R' F' B' D2 L B2,x2,B2 R' F2 L' F',L F U R2 F' L' U B' U',F' U B F U B' D L' U' L2 U' L' D',L2 R2 U R' U' R' B U' B' U L2 R',R2 F' U2 B2 D B' U B' U B' D' B F,52
R' D R U2 B' U B F2 L' R2 D' B2 F2 R2 U' R2 B' D L B2 D' U2,x2,L' D' U L' F,U' B2 L' B U' L U2 R2 B2,F D F U F' U' R U' R2 D' U,L' D U2 R' U' R D L U' L' D2 U' L,D' L' U2 L D L' U2 L,46
R' B' L' R' B' D F2 B L' U2 D2 F2 L R2 B' D2 U' R2 U2 F' D' L2,x2,F' L D2 L' D B2,U' B' R U L' R U' L,R U R2 U L U2 F' U L' F2 R F',U2 F' U' L2 B' U' B U L2 F U',L' F2 L' B L F2 L' B' L2,46
R' U F' U F' D' U2 B R2 U F D2 B F2 U2 B U R B' D L B2 L B2,x2,F2 U R2 B D F2,B' L U L' R' D B2 D',F2 D' U' F L' D' U B L' D2 F2,U R' F' D' L D2 R2 B R2 D B2 L' D2 U',R2 B L2 B' R2 B L2 B',47
B D F2 B' U L' R' F L2 F L2 B U' B L2 F' U2 F D' R D' F U',x2,R' F2 D' B D2 L',B L2 D' R2 D L2 U B',R B2 L' B' L2 B U2 B' L2 U2 L B2 R',R B' R2 U' R' U B U2 R U R2,D' F U2 F' D F U2 F',46
U2 L R' D' F2 B2 D2 R F R' B' D2 U L2 F2 L D B D B' U' L D',x2,B' D2 L U',R2 F' L2 B L U' L F R2,F' D' U B2 L2 D2 U2 F U' F R' D' F',D R' B F' U R' F R B' F D' F',R2 U' F L2 F' U R2 U' F L2 F' U,50
U L R2 D2 L F' B2 D B' L2 B D L2 F L' F L2 D' L F D R,x2,D2 U' B' R2 F,B U F2 D R B2 D' B' F2,U F U R' B2 F R' B2 F2 R U',U' R2 U F' U' F U' R2 U2 F' U F U2,D' L2 B U' L2 U L2 U B U' B2 D L2,51
D2 F' R D' F R' L B L' B L2 U2 D F U L2 U2 F' U' F2,x2,D' B U' R F' D',U2 R' B' U2 B2 R' U2 B2,B L2 B' U L' U2 R U R' F' L2 U F,D B D2 U' L U' L' D2 U2 F' U B' F D',R2 U' F L2 F' U R2 U' F L2 F' U,53
