scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
L' D' R2 D R F B2 D L2 R' B U2 D R2 D' R U' D R' B L' B,x2,B2 R U B' F R',U2 F D' B2 U2 B' L' D L,D2 B' D2 R B2 D B' D' B2 D' B R',F2 R' B' U2 L' F2 L F2 U2 B R F2,,39
F2 R' B' R' L F' L2 B' L D' F B D F U' F L B' D2 L D' L' R2,x2,L2 D' L' R2,U F' U F' L U2 F',R2 D2 R2 B' R' D2 R' D2 B D2 R2,L' U2 L2 F L' D' U2 L D U2 L F' U2 L',,36
D2 B U' D' B' L B2 U D' F2 R2 U2 B F2 L D2 F R F' U,x2,B' U L' B' D',R2 F R U2 F L' U2 R,R2 F R' U2 F U2 R B2 F' D2 B2 R',D' L U L' B2 D' R2 F D R B2 D' F' D2,L B D' B D B2 L2 F U F' L,50
D' U F2 R2 L' B' R F R U L' U' R' D F' L2 D F' R2 B2 F' U' F2 L2,x2,D2 U L' R' B U2,F' D2 U' R2 D2 U2 L U' F2,B D2 R B R' B R B' D2 U' B' U,B D' B2 U2 B2 D' F D2 B2 U2 B U L2 U',,41
F2 L F' D' R2 D2 U R2 U D2 R2 D2 F U' L U2 D F U2 R',x2,F2 U' R' B' L2 R,F2 L' F2 L2 B' U2 B L',F' R U2 B U2 B' R' F U R' U' R,D' B2 R' U R' U' R B2 D2 F D F' D2,U' B' L U' B2 U L' B D2 U F R2 F' D2,53
U' D F2 B U2 F U D L' U B' L R' U2 L2 B' U' B' D L2 R F L2 B2 D',x2,D2 U R' B D',D' L' D U2 R2 F2 L R2,B' D' R' D B L' R2 B' R2 B L,D2 F' U' F D' F' D' U F' D F' D' F2,B2 F2 U' R B' U R' B2 F2 L D' B L' D,51
B D' B2 F R' B2 F2 R F B2 U2 L' F' R2 U L2 D L' U B2 L' B U2 B2 U',x2,U2 R B' L2 U' R,U2 F L' D' U L' D U,R U R F D2 R' D' R2 D' F' R U',B' L' U2 L U2 B' U2 B2 L' B2 U2 B2 L,B2 F2 U' R B' U R' B2 F2 L D' B L' D,53
R' D' L' U2 R D2 B2 F D' F R2 L' D2 B U F2 L B U D2 F' B U' L',x2,D' R2 B L R' B2,D2 R B R2 D' F' R2 D',U2 B D2 B2 D' B2 D' B2 D' B U2,D2 L D R' D' L R D' F D F' L2 D2,L2 F U' L U' L' U2 F' L F U' F' L,51
D2 B' U R' F' R F2 L' U' D2 F2 U' B2 U' D' B L D R2 B2,x2,B U B L' U2 B R,U L F L2 B U B' F' U',U' F R' U R2 U' F2 U F2 R' F' U,B U' F' D2 R2 F' U B' D' F2 L2 D',B2 F2 U' R B' U R' B2 F2 L D' B L' D,54
D F2 D' B U' F' B' U2 L2 B' L2 B2 R' L' D' B D2 B L' U2 F2 L2 U2 R,x2,F R2 B' D' U2 L',D2 R' U B U2 B D2 F2 U,F' L2 F' L' U' L B U B' F L2 F,B D U F' D' F U' B' F' D F D',L B2 U F U' F' U2 L2 D' B' D L2 U2 B2 L',54
