scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
U' R' L2 F' B2 R2 D' L2 B2 U2 D2 F2 U2 F2 D R' D U2 R2 D' U2,x2,B2 U L2 R' B' L2,L2 B F R U F R' B' L2,U B' D2 B D L' D2 L D' U',L2 F' L2 B2 R' B' R B' D' L' F L,L2 F2 L2 B D B' L2 F U' F U L2,49
D2 F2 D2 L2 F2 U2 B' F D F R2 D' B2 U2 B' D U' F2 D' R L' U,x2,D' L U' F' R' B',F2 D' F2 R D' R2 D' R,B L2 B L2 R2 D2 F2 D2 F' R2 B',L2 U L' U' F D2 F2 L F2 D2 F' L',L' F' L2 B R D F' R F R2 B' L' D' F,51
B L2 B' R2 U2 L' F R' D' R2 U' L U2 R D F2 L' U' B' L',x2,R F' L' U' B' U',R' B D' R' U2 B U2 R2 B2,U2 R D R B D' R B' D R2 B' U2,F2 R' B' L' R D2 L D' F' R' B' R F',B2 F R' F' U2 B2 L' B' L B' U2 B2,52
B2 U2 B2 D F U' F' D' U2 L' B2 R' L2 U R D2 U F R B2 D2 R,x2,D2 U2 R' B2,R' D2 B F R F' R B',B' R2 B' D2 R2 B D2 B R2 B',L2 R2 F L' B' L U F' L2 B R2,L2 F2 L2 B D B' L2 F U' F U L2,45
B' R' L' U2 D' L' D' U2 B R2 L' U2 L R2 U' R2 L2 U2 D' L2 D B F2 L2 D2,x2,U2 R' F' U' B2,L' F R D R' D L D2,D' F2 D F2 U2 F2 L B L' B F2 D U2,L2 F' D2 L' D2 L2 D L' D B' L2 B F L,L2 F2 L2 B D B' L2 F U' F U L2,52
R B R' D2 B L D2 L2 B F D' F U B F2 U2 B F2 L' D2 U L2 R2 U2 F,x2,U2 B R D L2 B2,B D' L2 F R2 U2 F2 L2 R2,L2 F' D2 U2 B' D R' D R' B U2 L2,L B R2 D B' L' B D F L D2 L' R2 B',L2 F2 L2 B D B' L2 F U' F U L2,53
R' U L U F L' U' D R' U2 L' F' U' L U' L' F' U' R2 D2 U2 R2 D2 F' D2,x2,D' L U' B' L',R' D U2 B' U2 R D2,U2 L2 D2 L' B' L2 R' B2 L R U2,D2 B D2 R2 F2 R2 D R2 F2 R2 D' B' D2,L' F' L2 B R D F' R F R2 B' L' D' F,50
L U D2 R' L' F2 R2 L2 U R B2 L' D2 U L2 U L2 R' F2 L B,x2,U B2 F U',U F2 L B' F' D B F' U',L2 F U' F R2 F' D2 F' D2 U F' L2,L2 F R F R' F2 L2 B F D B' D' F',R' D2 R B' U2 B R' D2 R B' U2 B,50
B' R2 F L U D F2 B L2 B F' U B R U2 F2 L' F B R2 B U' F2 D',x2,B2 F' U' L' B L2 B2,R F D B R2 B' R' F' D',R2 B D2 R2 D F2 D F2 D B' R2,F2 D2 L' D2 L D' B D R D' R' D B' F2,R' D2 R B' U2 B R' D2 R B' U2 B,53
R' F L2 R F2 B2 D F D' L D' B2 L' D R' U B2 D R' L U R',x2,R D R2 B L' F,D' B' D L2 F L2 B,U2 R2 F2 L' U L F2 R2 B D B2 U2,B D B' L' R' D' L R B2 R' D R D' B2,L' F' L2 B R D F' R F R2 B' L' D' F,53
