scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
R B R' D2 B L D2 L2 B F D' F U B F2 U2 B F2 L' D2 U L2 R2 U2 F,x2,B R2 B2 U' B' F,U R F' D2 B U2 B' R U',B D2 R2 D2 B' R2 D2 R2,D R2 D B' D2 B D' R2 D,R2 F L F' R2 F L' F',40
R' U L U F L' U' D R' U2 L' F' U' L U' L' F' U' R2 D2 U2 R2 D2 F' D2,x2,F D L U L' B,U2 B' L' U2 L2 F' U' L2 F,L' U2 F' R B R2 F R B' U2 L,B R2 D R' D' R' D R' D' B',B' R F R' B R F' R',44
B' R' L' U2 D' L' D' U2 B R2 L' U2 L R2 U' R2 L2 U2 D' L2 D B F2 L2 D2,x2,D' L U B R2 D',F L' D2 U2 F D2 U L F',F L F' D2 B' L2 D B D L2 D2 L,R2 D2 B2 L B' R' B2 L' B R',U2 F U B2 U' F' U B2 U,46
D2 F2 D2 L2 F2 U2 B' F D F R2 D' B2 U2 B' D U' F2 D' R L' U,x2,F U L' U' F U',D' B' R2 B D2 R' F D' F2,D' L D' F2 U2 B' D' R D' B2 U2,D R D' B R D R2 D' R2 B' R',L2 U' L' D2 L U L' D2 L',46
U' R' L2 F' B2 R2 D' L2 B2 U2 D2 F2 U2 F2 D R' D U2 R2 D' U2,x2,L D' R U B2 R,U L2 F U' B U' L B U,U2 R2 U' L2 U F R2 U' L2 U' B,D' B' U L2 U' B D2 F' D' F2,F' R2 B' D2 B2 R2 B' D2 F' R2 F2 D2,48
R' F L2 R F2 B2 D F D' L D' B2 L' D R' U B2 D R' L U R',x2,L2 F2 D L' F L2,F2 L2 R2 B' L R2 U F' L,D B D L2 B' L2 D2 L D L' B',B' D' B2 D L B2 L' R D R' B',B2 D2 B' U' B D2 B' U B',46
B L2 B' R2 U2 L' F R' D' R2 U' L U2 R D F2 L' U' B' L',x2,L F R D B2 U,L2 R2 B L2 F2 D R2 F',D' B F' R2 D B' F R D' U' B' U,R2 D2 F' D B' D' F D2 B R D R,R2 U' F L2 F' U R2 U' F L2 F' U,50
B' R2 F L U D F2 B L2 B F' U B R U2 F2 L' F B R2 B U' F2 D',x2,L B2 F' D2 L,L2 U' B L F R' U2 L R,F' L' R2 F D2 F' D2 L R2 F,R D' R' B' D' B R D2 R' D',F' U F D' F2 U' B2 U F U' B2 F D,47
L U D2 R' L' F2 R2 L2 U R B2 L' D2 U L2 U L2 R' F2 L B,x2,F D F2 L2 F',U' R' U F2 D' F' R,R2 U' B D F2 R F2 R' D' B' U R2,L' R2 D R' D' L R' D R' D',B' R D2 B' L B L' D2 R' B' D2 B2 D2,47
B2 U2 B2 D F U' F' D' U2 L' B2 R' L2 U R D2 U F R B2 D2 R,x2,D' B' U2 F' R' F2,R B R' F2 U' L2 U' B' U2,D B D2 U2 R2 F D' U2 B' D' L2 D',F D' F' R F' R' F D,B' L D' L' B2 L' B2 D B2 D' L2 D L' B',49
