scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
U2 R2 D' U' F R2 D' L2 F2 B U2 D' R2 F R L2 B' D2 B' R' F' B' D2 L B2,x2,L R' F' D' L2 F',U2 L' D L2 D' B2 U' L,R' U B U2 R D' R D B2 R' B' U2,D' R' F L2 R B' L2 D2 R' F' R D',R2 B2 R U R' U' B2 R' D' R D R2,50
L2 R' B2 U D R B' D2 R L2 B' F D2 B' L2 U2 R' F D B2 D' U' R2,x2,D' U2 L' B D2 R2,B' L D' L D U L' D B' U2,U2 R B U B2 L F2 R2 F2 U' L' R',R B L' U' L B' L2 B L U L R',D' F2 R' U' R U F2 R D R',50
B2 L R2 B2 L2 B U' B R2 D2 U' L' R B L F B2 R B2 U2 L2 F2,x2,D2 F' L2 B,U2 L' B R2 D2 F' D2 L R2,D2 B' F' U' F U L F L' B D2,L2 R U B U' R2 U R B' U' L2,B' U' B' U' F2 D' L' F' D F' U2 R' B2,48
R' U F' U F' D' U2 B R2 U F D2 B F2 U2 B U R B' D L B2 L B2,x2,U2 L2 F R2 D,L' D' L' U L D B' L,B2 D2 F L2 B F' L B' L' D2 B U',B' U' R U B R2 U' R2 F' U' F R U,D' B F2 L' U' L B' F2 D B R B',50
R' D R U2 B' U B F2 L' R2 D' B2 F2 R2 U' R2 B' D L B2 D' U2,x2,D2 F2 D F' R,F2 U2 L2 D' U2 L2 B2 F2,R B U2 R2 U2 L' D' R' D B' L B',F U L2 B R' B' L2 U' R F',R2 D2 R D B' R' D2 R D B R' D' R,48
U L R2 D2 L F' B2 D B' L2 B D L2 F L' F L2 D' L F D R,x2,L F' D' B R2 D',U2 L D' R2 D L' R2 U',R2 F' L U' L' F L R2 U L' U2,U2 L' B' L R2 U R B' R B U2,B2 L' B2 L R B U2 R2 U2 B R' B2,48
B D F2 B' U L' R' F L2 F L2 B U' B L2 F' U2 F D' R D' F U',x2,L2 F' L R B2,U B L U B2 U L' U' B,R' B2 U' B R D' F' R2 F D B',L2 D' L B U' B' L' D L U L,R F' D' U' R2 U2 L F' L' U' R2 D F,49
R' B' L' R' B' D F2 B L' U2 D2 F2 L R2 B' D2 U' R2 U2 F' D' L2,x2,U' L2 B L2 D R',L' F D2 R D2 R2 F' L,R2 U2 F' U F R' B' R2 B R U2,B U B2 U' R B2 R B' U B R2 U',F' U' B2 D R B R' D' U' B2 U2 F R',50
D2 F' R D' F R' L B L' B L2 U2 D F U L2 U2 F' U' F2,x2,B' R' F2 L' D F',L' F L2 U R U L2 B' F' L,R2 B2 D L2 B U L D2 F R D U',L D' B D B' D' R B' D' R' D2 L',D L R B2 R2 B' R B R B2 L' D' R',53
U2 L R' D' F2 B2 D2 R F R' B' D2 U L2 F2 L D B D B' U' L D',x2,R2 F2 R D F' L2,B' D B2 F2 U B F2 D' B2,R U2 R2 B' U2 R' B U' R' U' B' U' R,L F2 U R' U' R F2 L' B R B' R',R2 B U R F R' D R2 D' F' R' U' R B',54
