scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
D2 B U' D' B' L B2 U D' F2 R2 U2 B F2 L D2 F R F' U,x2,R B2 F R B2 D',D' L F' D R' B2 L' R F D',U2 R' B' L B U' L' R B U2,R2 B2 D2 B' U2 B D2 B' U2 R2 B',B' U2 B R' D2 R B' U2 B R' D2 R,49
F2 R' B' R' L F' L2 B' L D' F B D F U' F L B' D2 L D' L' R2,x2,B U' B2 L D' F' U',R2 F' L' B F R2 D L2 D',R2 B R2 U2 L' D F2 D' L U2,R B2 U F D' R' D R F' U' B2 R',B' U2 B R' D2 R B' U2 B R' D2 R,50
U' D F2 B U2 F U D L' U B' L R' U2 L2 B' U' B' D L2 R F L2 B2 D',x2,R2 F' L' F' R2,D' F L2 D L' F L' F2 D,R B2 L U B U L U L2 B' R',R F' L F L' R' B' L F' L' B F,B R' U F2 D' L D F2 U2 R U B',49
F2 L F' D' R2 D2 U R2 U D2 R2 D2 F U' L U2 D F U2 R',x2,R' D F2 U2,F' L2 R2 B2 R2 D L2 F',D' F L' U B L' B' D2 U' F2 L,B R B' R B R' B R2 B R B' R B2,R' D2 R B' U2 B R' D2 R B' U2 B,48
D F2 D' B U' F' B' U2 L2 B' L2 B2 R' L' D' B D2 B L' U2 F2 L2 U2 R,x2,L' U' R D2,L2 R2 B R2 U2 R B' U2,R B' F2 R B' D2 R' B2 F2 R',R' D2 L2 D R U2 R2 D' U2 L2 D2,B' U2 B R' D2 R B' U2 B R' D2 R,45
B D' B2 F R' B2 F2 R F B2 U2 L' F' R2 U L2 D L' U B2 L' B U2 B2 U',x2,U' L' F' U2 F D',L B D' L2 B D2 B L2 D L',R' D L B R2 U2 L2 F D L R' B',R' D' F' U F D' R' F' R U' F D2 R,R' D2 R B' U2 B R' D2 R B' U2 B,53
L' D' R2 D R F B2 D L2 R' B U2 D R2 D' R U' D R' B L' B,x2,L2 D L' F' D R',U2 L2 U2 F2 R' D B' F2 U',L2 R2 U2 R' F L2 U R2 U' R B D2,D2 L U' L F' U L D' L2 B2 L' D' B,B' U2 B R' D2 R B' U2 B R' D2 R,52
D' U F2 R2 L' B' R F R U L' U' R' D F' L2 D F' R2 B2 F' U' F2 L2,x2,L2 B2 L' F' U B2,D B' L' F U' F U B D',B L R' U' R' B R2 U L U' L2,R' U R2 U' R B R2 B',R B R' B2 U B U2 R' U' R U2 B' U' B2,48
R' D' L' U2 R D2 B2 F D' F R2 L' D2 B U F2 L B U D2 F' B U' L',x2,R D' F R2 D,R' B D' L F2 L' U2 F' D L,R2 B L R' B' U B U L' R',R2 B2 U2 B U' R2 U B' D U2 B2 D' R2,B2 U B U2 R' U R U2 B' U' B2 R B' R',52
D2 B' U R' F' R F2 L' U' D2 F2 U' B2 U' D' B L D R2 B2,x2,L' D2 F L' B2 D R',L' U2 R U2 F' D F L',D' L' D2 F2 D' L R' D' R' B R2,R' D' R' B2 L' D L B2 U R2 U' R D R,F2 D L' F L' F' L2 D2 R' B' R D F2,53
