scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
U2 R2 D' U' F R2 D' L2 F2 B U2 D' R2 F R L2 B' D2 B' R' F' B' D2 L B2,x2,F2 U' F' L B D2,F2 D' F' D2 B F L' D F2,R2 U R2 D L2 B' R D R2 U2 R D' B',D L D' L' D' R' B' R D L,D2 B F' R' D2 R B' F D' L2 D',49
R' U F' U F' D' U2 B R2 U F D2 B F2 U2 B U R B' D L B2 L B2,x2,D' R2 F' D' R2,B D2 L2 F D' B D' B2,D' L2 B L U B L U' L' B' L D,U' B' D2 B L' B2 L2 B L2 B D2 U B,U L' B D2 B2 D2 B2 D2 B L U',49
R' D R U2 B' U B F2 L' R2 D' B2 F2 R2 U' R2 B' D L B2 D' U2,x2,L2 F R' B' U2,D' L F' L' F2 D' F2 L' D2,D F' L' D' L' B' D B2 L F L D',R U' B R D2 L D R' U R D2 B' D' R2,R D2 U2 L' D' L D2 U2 R' D,50
B2 L R2 B2 L2 B U' B R2 D2 U' L' R B L F B2 R B2 U2 L2 F2,x2,U' B' F' L2 R',D' F2 D R' B2 U R B2,U2 L U' L2 F' D U2 F2 D B2 R' D2 F',B' F U' L' U R2 U' L R2 B2 L' B' L F',D2 B F L B' L' F' D2 B D B D' B2,53
U L R2 D2 L F' B2 D B' L2 B D L2 F L' F L2 D' L F D R,x2,R2 D' R' B,L F U' F2 U F D F' D',L' D U' R' U' R U2 B D L' D2 L,F' U' L U L R D2 L D L' D2 L2 R' F,U L' B D2 B2 D2 B2 D2 B L U',50
L2 R' B2 U D R B' D2 R L2 B' F D2 B' L2 U2 R' F D B2 D' U' R2,x2,R' B D2 F R,R2 D' U2 R D B R2 B,U' F' R2 F2 L B D' B2 D F' D B U,F' U R D2 R2 D2 B' R' U R' D2 R U2 F,L2 B' U' L2 U L B D' L2 D2 L2 D L,53
R' B' L' R' B' D F2 B L' U2 D2 F2 L R2 B' D2 U' R2 U2 F' D' L2,x2,B L U2 L' D B',B' D' R' D2 B2 L' D2 R D,R2 D2 U' B F R' D2 B' R' F R',B D L' B' L' B2 L B D' L' B2 L,L2 F' R F L2 R' D F D F L' F2 D',51
B D F2 B' U L' R' F L2 F L2 B U' B L2 F' U2 F D' R D' F U',x2,L' F' U' L' D F',R2 U R D' U2 R D B,F' L' F' L' D' B2 L D R D R' B' F2,U2 B R2 B D' F2 D R U' B2 U2 F' U F,D2 B F L B' L' F' D2 B D B D' B2,54
U2 L R' D' F2 B2 D2 R F R' B' D2 U L2 F2 L D B D B' U' L D',x2,F' D U B' R D2,D' L F' D' R F2 R' F L' D,B F U' B F' R B' L R' U B2,B R2 D2 F D' L' D2 F2 L F L' F D R2 B',D2 B2 L D2 F2 D' R' D U' B U' R F2,55
D2 F' R D' F R' L B L' B L2 U2 D F U L2 U2 F' U' F2,x2,U L' D B2 U F',F2 U' F2 U' F U2 L' F2,U' F2 U2 B U' R' U L2 B D2 R B2 F',F R' B' R' U' L2 B2 D' L2 U' L' D L R2 F,U2 F R D' R2 D2 R D' F' U' B R' U',55
