scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
F2 L F' D' R2 D2 U R2 U D2 R2 D2 F U' L U2 D F U2 R',x2,B2 D' U2 B L,D2 F2 U B2 D' B L2 B2 U' B',D F2 L R B L B' L2 R' F2,U L2 D' R' D L2 D L D L' D2 R U',B2 L' F' D' F L B R D R' B,49
D2 B U' D' B' L B2 U D' F2 R2 U2 B F2 L D2 F R F' U,x2,F L' U' R B F,F L B D2 U L U' B2 F' L',R' D B' L B' L' B D2 B R,L' R' F L F' L2 B L' B' L' R,B F L F2 D2 F2 L B' F' L2,47
F2 R' B' R' L F' L2 B' L D' F B D F U' F L B' D2 L D' L' R2,x2,U' L' F L' R2 F2 U',D2 R2 B R2 D B' D' B2 L B,D R U F U' B2 R2 D' R2 B2 R',F D B' D' L B' R' B U R' U L' R2 F',B F L F2 D2 F2 L B' F' L2,52
D' U F2 R2 L' B' R F R U L' U' R' D F' L2 D F' R2 B2 F' U' F2 L2,x2,R' B2 U' B' F2 U2,D2 B' D' L F D2 L2 F' D2 B,D' R' F L2 B' L2 F' D R,R F' L' F' R' B2 R' F L' B' L2 F' U2 R,,39
L' D' R2 D R F B2 D L2 R' B U2 D R2 D' R U' D R' B L' B,x2,L2 U' L2 R' B L,F2 D' B' D2 L' B U' R2 U,D' R' D2 B' D' B D' R,B' L' B R' B R D2 F L F' L,F2 U B' F R2 B F' U F2,43
B D' B2 F R' B2 F2 R F B2 U2 L' F' R2 U L2 D L' U B2 L' B U2 B2 U',x2,D F2 R B2 L,D' F' D B2 U B' U' B' F,R' D2 R F D F' D2,F D2 F' D F' U F' U' F2 D U F' U',B F L F2 D2 F2 L B' F' L2,44
U' D F2 B U2 F U D L' U B' L R' U2 L2 B' U' B' D L2 R F L2 B2 D',x2,D L U2 F' U2 F2,B2 F2 L U B2 L' U' F2 L,L' D' L D B2 U2 R U2 B2 L,U L' F' D' B' R2 B D F' U2 F2 L U',R' B' R B F D2 B2 D' B D B D2 F',51
D F2 D' B U' F' B' U2 L2 B' L2 B2 R' L' D' B D2 B L' U2 F2 L2 U2 R,x2,U' F2 R' B' L' U2,B' U B2 U R' U2 L B,R2 U L' B' U' B L U' R2 F D2,B' L2 D2 U B' D B2 L D L' U' B D,F2 U' B' F R2 B F' U' F2,47
R' D' L' U2 R D2 B2 F D' F R2 L' D2 B U F2 L B U D2 F' B U' L',x2,D' F U2 R2 F,F2 D2 F2 R B2 L U2 B2,F2 L' F' U F2 U' F2 U' F L F2,D' U F2 R F2 D' L D' B2 L B2 L2 D' U',D R B' D' U R2 D U' B' R' D',49
D2 B' U R' F' R F2 L' U' D2 F2 U' B2 U' D' B L D R2 B2,x2,B2 U' L' D2 B' U2,L B2 D B' U2 R2 D2 U2 L,D' L2 R2 B U B' R' U' L2 R',L U' B R' B' U F2 D L D L' F2 L',R' B' R B F D2 B2 D' B D B D2 F',51
R2 L2 F R2 B' L2 B2 L' B' L' R D' B' F2 D2 U' L2 B F2 R2 F' L2 U' B2,x2,F U R B2 L' U2,B' L' D B' F2 L B2 F2,D2 B2 U2 F' U2 B2 D,U' L' R D' L2 D' L' D2 L F' D2 F R' U,B F L' F2 D2 F2 L' B' F' L2,45
U R B2 F' U' R2 D2 F' U' B L2 B U F' L D F' L' B L2 F D,x2,D B2 L R' B' U B2,D L2 B L2 D2 B2 L B2,D2 R F' L' U2 F' L F R' F',R2 B R' B' F D2 R' D2 R D2 R F' R,F2 U' B' F R2 B F' U' F2,47
