scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
F2 L F' D' R2 D2 U R2 U D2 R2 D2 F U' L U2 D F U2 R',x2,R' D' F' U2 B2 L,D2 R2 U2 B' L2 B R2,L' B2 R F R' B2 L R2 U' R2 D',R' B2 L' B2 L B' L' B2 L' U' L2 U B2 R,D F D F2 R2 B U B' R2 F D2,49
R' D' L' U2 R D2 B2 F D' F R2 L' D2 B U F2 L B U D2 F' B U' L',x2,F' R2 D R' D2 R2,U' B2 U' B2 F R F' U,F' L F' D' F' L' F',B' L B F' R' D' R F L D L',,32
D2 B U' D' B' L B2 U D' F2 R2 U2 B F2 L D2 F R F' U,x2,F' U' F2 R D2 B,U' B' L D B2 R' B' F R U,B' L' B' D' B' R F2 L R' B' D,U' F L2 D B R D R' D' B' L2 F' U,L' D2 F2 U' R U' R' U2 F2 D' L' D' L,53
U' D F2 B U2 F U D L' U B' L R' U2 L2 B' U' B' D L2 R F L2 B2 D',x2,D F' L U R U',F' U2 R2 B R B' D2 U2 F,U' L2 D2 L B D' B2 L2 U2 B U L',L' B' L2 F2 D' U R2 U' R' D R B' F2 L',R' F U2 F' R D2 R' F U2 F' R D2,53
B D' B2 F R' B2 F2 R F B2 U2 L' F' R2 U L2 D L' U B2 L' B U2 B2 U',x2,B2 U' L' F' U2,F2 U' R D2 F' R2 U F',F' U2 B D2 R' D2 B' U2 F,L' D2 U' L D2 F2 U B U' F2 U B' L,L' D L D' L2 U L' D L D' U' L',47
L' D' R2 D R F B2 D L2 R' B U2 D R2 D' R U' D R' B L' B,x2,B2 D U2 R U' L U2,L2 D2 L2 D' L' F' L F,L' D2 L2 R2 U' F U' F' L' R2,F' R' D F L2 B L F' R F L2 D' L',L' D L D' L2 U L' D L D' U' L',50
F2 R' B' R' L F' L2 B' L D' F B D F U' F L B' D2 L D' L' R2,x2,L2 F' R2 U R' U2,U' B2 U B' U2 R' B' R U,B2 R' B' R B2 L B L' D',L F' D F L' B L' B' D2 L' U' L D2 U,L' B' L B2 L2 B' F' D' B D F L2 B',51
D' U F2 R2 L' B' R F R U L' U' R' D F' L2 D F' R2 B2 F' U' F2 L2,x2,R F' D' R2 B,D U' B2 U' L U' B2 F U F',R' U' B' U' R2 D' L' R' B D B L,F' L2 F2 R U F R' F L2 D2 B D' B' F,L' B' L B2 L2 B' F' D' B D F L2 B',54
D2 B' U R' F' R F2 L' U' D2 F2 U' B2 U' D' B L D R2 B2,x2,R' D2 B' F2 U2 R,U2 R D2 B2 L' B' L2 B' R',F L' R U' L B U2 B' U' R' F' U',F U B2 U' F' U B2 U',L D F U2 B' U' B L' U' F' D2 B D B',49
D F2 D' B U' F' B' U2 L2 B' L2 B2 R' L' D' B D2 B L' U2 F2 L2 U2 R,x2,U' L' U' R F,D F' D2 F' U' R2 F2 U,F D U2 R' D' R U2 L D' L' F',L' B' L2 B L2 D2 R' D L' D' L2 B2 R D',L D F U2 B' U' B L' U' F' D2 B D B',52
