scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
F2 L F' D' R2 D2 U R2 U D2 R2 D2 F U' L U2 D F U2 R',x2,F2 R2 U B2 L',D2 B' L2 F' D' F D L B,F' L2 F' L F D F' L' F L2 D' F,L2 U L R2 U L' R B' R U' L2,B D' U R' U2 R D U' B' U2,47
U' D F2 B U2 F U D L' U B' L R' U2 L2 B' U' B' D L2 R F L2 B2 D',x2,L2 F2 D B2 L F',B2 R' U2 B' L2 R B' L,D U L D' U' L D R U R' D' L',L B2 L' D' F' D' L R B L' R2 F,R' B' D' U R2 D U' B' R,47
F2 R' B' R' L F' L2 B' L D' F B D F U' F L B' D2 L D' L' R2,x2,D R B L2 F' D',B' F2 R' B R' D F2 R U',D' R U' L F' D2 F L B2 L2 U F2 D,U F' D' B' F L B U',F' L' U L2 U2 L' U F R U' B R',48
D2 B U' D' B' L B2 U D' F2 R2 U2 B F2 L D2 F R F' U,x2,B' U' L' B D2 U,R2 U L' U' L U' R2,B2 U F2 U2 L' D' B2 U R F2 D2,L' B D' U R' B R D U' B',L' B U B L' R D' B' D L2 R2 U2 R,47
R' D' L' U2 R D2 B2 F D' F R2 L' D2 B U F2 L B U D2 F' B U' L',x2,L' U2 R' B2 L,F2 L F L2 U L F,R' B' R2 B' R' B2 R U' B2 U,R B2 R2 D' B' D U' L U R2 B2 R',L' U' B2 U L R' F' U2 F R,44
D F2 D' B U' F' B' U2 L2 B' L2 B2 R' L' D' B D2 B L' U2 F2 L2 U2 R,x2,R2 F' U' L' D2 R,F L2 U2 R U' L2 U R' F',B R B' R' D' R D' F' D2,D' L' F2 R2 U' L2 B2 L' R' F' R' D,U' L R' B2 F' L2 R2 B' L R' D2 U',48
D' U F2 R2 L' B' R F R U L' U' R' D F' L2 D F' R2 B2 F' U' F2 L2,x2,F' L' F D' B D2,D L B' L2 B2 L2 D' B' L',D2 B' F' R' F' R2 D' F' D B F2 D2,D' L D R2 F2 L R' D2 L2 F' R' D,U2 L2 R2 D' B2 D L R' B' U2 B' L R',52
D2 B' U R' F' R F2 L' U' D2 F2 U' B2 U' D' B L D R2 B2,x2,R2 F L2 D U,F U B L2 F2 D2 L2 D2 B' F',L2 D' R B2 L F L U' R2 F' R F',U' B2 F2 U' F' L2 U2 L2 F' D U B2,B D' U R' U' R D U' B' U,49
B D' B2 F R' B2 F2 R F B2 U2 L' F' R2 U L2 D L' U B2 L' B U2 B2 U',x2,D' B U R' B2,D' B2 F D B L2 R' B,R' B2 D2 B' U' F' L2 F' U2 B' R' U' R,L B2 L' D' F' D' L R B L' R2 F,R F D2 L2 U2 B L2 D2 R,47
L' D' R2 D R F B2 D L2 R' B U2 D R2 D' R U' D R' B L' B,x2,L' U R B2 D2,F' L' U2 F D' U2 F2 D L,L' D' R2 U2 R2 F2 D L D' F2 D,R D2 U' R D' U F' D' R',U' R D U B2 U2 B' U B U B2 D' R',47
