scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
U' R' L2 F' B2 R2 D' L2 B2 U2 D2 F2 U2 F2 D R' D U2 R2 D' U2,x2,D' U2 L2 F L,R' F' R2 F2 D' U' R2 D R2 F',F L2 B L B2 U' B' D' R D L F',L D L' U B U' B' R' U L R D' L',U F' R2 F U' L2 U F' R2 F U' L2,52
B2 U2 B2 D F U' F' D' U2 L' B2 R' L2 U R D2 U F R B2 D2 R,x2,D' B' U2 R2 F D',F2 R' D R' D2 U2 R D F',D2 L R' B2 F L' R U',U' F2 D R' D' F2 D2 R' U' R D2 U2,U F' R2 F U' L2 U F' R2 F U' L2,47
B' R' L' U2 D' L' D' U2 B R2 L' U2 L R2 U' R2 L2 U2 D' L2 D B F2 L2 D2,x2,F' L' D' B' R F2 U,R' B F' D L2 U B D' F,R' U2 B2 R F2 L' D2 B L F' U F',F U2 L' R' F R D R D' F' L U2 F',U2 F' L2 D' U' B2 L' B2 L B2 D U L2 F,55
R B R' D2 B L D2 L2 B F D' F U B F2 U2 B F2 L' D2 U L2 R2 U2 F,x2,B2 U R F D',D' U2 F D B2 F2 U B2 U2,L' D' R2 B' R2 B U R2 D B L,D F R F U2 B' F2 R2 F2 R' B F' R' D',B2 D' B R2 U R2 B U B' U' B2 D B',52
B L2 B' R2 U2 L' F R' D' R2 U' L U2 R D F2 L' U' B' L',x2,L D' R B2 U2,D' R' D F' R2 U' F R',F R U2 R' U2 B F' D2 U' B2 D2 B',U L2 F' R' F D2 L B2 L' B' D2 L2 U',B2 D' B R2 U R2 B U B' U' B2 D B',51
L U D2 R' L' F2 R2 L2 U R B2 L' D2 U L2 U L2 R' F2 L B,x2,D' U B2 U L' B,U2 F D U' F D F' D' U',F2 L' D L2 F U' L F2 D' L2 B' F2,D2 B' D B2 D' B2 U' B D B' D U,B' R D2 L' F L F' R2 F R2 D2 B R',52
R' F L2 R F2 B2 D F D' L D' B2 L' D R' U B2 D R' L U R',x2,L2 R D' B' D F2,R' D' R2 B' R' D2 B R2 D R2,U B' U' B2 U' B2 L2 F' L' F L',F2 L F2 D2 U' F' U' F U R D2 L' U,U2 F' L2 D' U' B2 L' B2 L B2 D U L2 F,54
R' U L U F L' U' D R' U2 L' F' U' L U' L' F' U' R2 D2 U2 R2 D2 F' D2,x2,B L' D L' U' L2,F D2 U R' D F2 R D2 U,U' R' U L' B2 U B2 L U' R U,U' F R F R B F' U' B' R' F' U,U' F2 U2 F' U B U' F' L F2 U2 F2 L' U B',53
D2 F2 D2 L2 F2 U2 B' F D F R2 D' B2 U2 B' D U' F2 D' R L' U,x2,L2 D2 F U' L U B,U R2 D R U' L B L' D',B D R' B' R B D' F2 U' B' F2,L2 D' L2 U2 L' B U2 B' R B2 L2 R' D L',B U' L F2 U2 F2 L' F U B' U' F U2 F2 U,56
B' R2 F L U D F2 B L2 B F' U B R U2 F2 L' F B R2 B U' F2 D',x2,L2 R2 B U2 L',U2 B2 U' B2 R' U' F R' F',U' B2 R' U' L U' F' R' D L' R2 U,F U2 L2 B L U L' U' B' D2 U B R2 D2 L2,B U' L F2 U2 F2 L' F U B' U' F U2 F2 U,56
